ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
112,"Dr. D. Y. Patil Institute of Technology, Pimpri",,,,C403,,Unknown,,https://engg.dypvp.edu.in/,,Pune
113,Dr. Lankapalli Bullayya College,,,,C422,,Unknown,,bullayya.ac.in,,Visakhapatnam
114,Dr. Paul Raj Engineering College,,,,C464,,Unknown,,dprec.ac.in,,East Godavari
115,Dr.B.R.Ambedkar Open University,,,BRAUSF,C084,,Unknown,,https://www.braou.ac.in/#gsc.tab=0,,Hyderabad
116,Dr.K.V. Subba Reddy Institute of Technology,,,KVSR,C122,,Unknown,,https://drkvsrit.ac.in/index.html,,Kurnool
117,Ashoka Women's Engineering College (Dr.K.V. Subba Reddy Institute of Technology -for Women),,,KVSW,C121,,Unknown,,,,Kurnool
118,Dr.YSR Architecture and Fine Arts University,,,,C338,,Unknown,,https://www.ysrafu.ac.in/,,Kadapa
119,East Point College of Engineering & Technology,,,,C429,,Unknown,,https://www.eastpoint.ac.in/,,Bangalore
120,Echelon Institute Of Technology,,,,C475,,Unknown,,https://eitfaridabad.com/,,Faridabad
121,Ellenki College of Engineering & Technology,,,ELEN,C123,,Unknown,,https://ellenkicet.ac.in/,,Sangareddy
122,Eluru College Of Engineering,,,,C369,,Unknown,,,,West Godavari
123,Federal Institute of Science and Technology,,,,C297,,Unknown,,https://fisat.ac.in/,,Ernakulam
124,G Narayanamma Institute of Technology & Science for Women,,,GNTW,C124,,Unknown,,https://old.gnits.ac.in/,,Hyderabad
125,G Pullaiah College of Engineering & Technology,,,PCEK,C044,,Unknown,,https://www.gpcet.ac.in/,,Kurnool
126,G. Pulla Reddy Engineering College,,,GPRE,C026,,Unknown,,https://www.gprec.ac.in/,,Anantapur
127,Galgotias University,,,,C505,,Unknown,,https://www.galgotiasuniversity.edu.in/,,Gautam Buddha Nagar
128,Ganapathy Engineering College,,,GNPT,C267,,Unknown,,www.ganapathyeng.org,,Warangal Rural
129,Gandhi Engineering College,,,,C487,,Unknown,,https://www.gec.edu.in/,,Khordha
130,Gates Institute of Technology,,,GATE,C241,,Unknown,,https://gatesit.ac.in/,,Anantapur
131,Gayathri Vidya Parishad (GVP) College of Engineering,,,GVPE,C165,,Unknown,,https://www.gvpce.ac.in/,,Visakhapatnam
132,GDMM College of Engineering & Technology,,,GDMM,C227,,Unknown,,,,Krishna
133,Geethanjali College of Engineering & Technology,,,GCTC,C125,,Unknown,,https://www.geethanjaliinstitutions.com/engineering/,,Medchal
134,Geethanjali Institute of Science & Technology,,,GTNN,C236,,Unknown,,https://gist.edu.in/,,Nellore
135,GIET College of Engineering,,,GIET,C129,,Unknown,,https://giet.ac.in/,,East Godavari
136,GIET Engineering College,,,GITE,C128,,Unknown,,https://www.gietec.ac.in/,,East Godavari
137,GITAM University Hyderabad,,,,C379,,Unknown,,,,Unknown
138,"GITAM University, Vizag",,,,C314,,Unknown,,https://www.gitam.edu/,,Visakhapatnam
139,Global Institute of Engineering & Technology,,,GLOB,C257,,Unknown,,https://www.globalhyd.edu.in/,,Hyderabad
140,GMR Institute of Technology (GMRIT),,,GMRI,C130,,Unknown,,https://gmrit.edu.in/,,Vizianagaram
141,Godavari Global University (GGU),,,,C315,,Unknown,,https://ggu.edu.in/,,East Godavari
142,Godavari Institute of Engineering and Technology,,,GIER,C127,,Unknown,,https://giet.ac.in/,,East Godavari
143,Gokaraju Rangaraju Institute of Engineering & Technology,,,GRRR,C245,,Unknown,,https://www.griet.ac.in/,,Hyderabad
144,Gokul Institute of Technology & Sciences,,,GGIB,C216,,Unknown,,,,Vizianagaram
145,Gouthami Institute of Technology And management For Women,,,GTMW,C034,,Unknown,,https://www.gitamw.ac.in/,,Kadapa
146,Government Arts and Science College Aranthangi,,,,C496,,Unknown,,https://tngasa.com/government-arts-and-science-college-aranthangi/,,Pudukkottai
147,Government Engineering College Arwal Bihar,,,,C298,,Unknown,,https://www.gecarwal.ac.in/,,Arwal
