Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
244,BRNK,,Brindavan Institute of Technology and Science,C244,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,https://www.bitskurnool.edu.in/,,,,,,
11,BVCR,,BVC College of Engineering,C011,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://bvcr.edu.in/,,,,,,
10,BVCE,,BVC Engineering College,C010,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://bvcec.edu.in/,,,,,,
25,BVTS,,BVC Institute of Technology and Science,C025,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://bvcits.edu.in/,,,,,,
16,BVRW,,BVRIT HYDERABAD College of Engineering for Women,C016,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,https://bvrithyderabad.edu.in/,,,,,,
,,,"BVSR Engineering College
",C421,,Affiliated,,,,28,Andhra Pradesh,549,Prakasam,,,,https://www.bvsr.ac.in/,,,,,,
8,CBTK,,"Chaitanya Bharathi Institute of Technology, Proddatur",C008,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,551,Kadapa,,,,https://www.cbit.ac.in/,,,,,,
,,,Centurion University,C488,,Private University,,,,21,Odisha,389,Gajapati,,,,https://cutm.ac.in,,,,,,
237,CHDL,,Chadalawada Ramanamma Engineering College,C237,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,554,Chittoor,,,,https://crectirupati.ac.in/,,,,,,
6,CBIT,,"Chaitanya Bharathi Institute of Technology, Hyderabad",C006,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.cbit.ac.in/,,,,,,
,,,Chaitanya Deemed to be University ,C444,,Deemed University,,,,36,Telangana,537,Rangareddy,,,,chaitanya.edu.in,,,,,,
,,,Chaitanya Degree & PG  College,C364,,,,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
126,CEVP,,Chaitanya Engineering College,C126,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,https://cec.ac.in/,,,,,,
81,CIET,,Chalapathi Institute of Engineering & Technology,C081,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,https://chalapathiengg.ac.in/,,,,,,
88,CITY,,Chalapathi Institute of Technology,C088,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,https://city.ac.in/,,,,,,
,,,Chandigarh Group Of Colleges Landran,C447,,,,,,3,Punjab,0,,,,,cgc.edu.in,,,,,,
,,,Chandigarh University ,C407,,University,,,,3,Punjab,0,,,,,,,,,,,
,,,Charotar University Of Science and Technology,C389,,,,,,24,Gujarat,0,,,,,,,,,,,
,,,Chitkara University,C386,,,,,,3,Punjab,0,,,,,,,,,,,
,,,Christ University ,C400,,Private University,,,,29,Karnataka,572,Bangalore,,,,,,,,,,
290,CJIT,,Christu Jyothi Instititute of Technology & Science,C290,,Affiliated,ENGINEERING_COLLEGE,,,36,TS,540,Warangal,,,,https://cjits.ac.in/,,,,,,
,,,Cleveland state University,C419,,University,,,,,Unknown,0,,,,,,,,,,,
48,CMRK,,CMR College of Engineering & Technology,C048,,Autonomous,ENGINEERING_COLLEGE,,,36,Telangana,0,,,,,https://cmrcet.ac.in/,,,,,,
118,CMRN,,CMR Engineering College,C118,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://cmrec.ac.in/,,,,,,
