state_code,State,district_code,name,Town Code,Town Name,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801605,Donkamokam,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801604,Hamren,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801608,Howraghat,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,297793,Langhin,,,,,,,,,,,,,,,,,,,,
18,Assam,317,Karimganj,801617,Badarpur,,,,,,,,,,,,,,,,,,,,
18,Assam,317,Karimganj,801616,Karimganj,,,,,,,,,,,,,,,,,,,,
18,Assam,300,Kokrajhar,801546,Gossaigaon,,,,,,,,,,,,,,,,,,,,
18,Assam,300,Kokrajhar,801547,Kokrajhar,,,,,,,,,,,,,,,,,,,,
18,Assam,307,Lakhimpur,801576,Bihpuria,,,,,,,,,,,,,,,,,,,,
18,Assam,307,Lakhimpur,801578,Dhakuakhana,,,,,,,,,,,,,,,,,,,,
18,Assam,307,Lakhimpur,801575,Narayanpur,,,,,,,,,,,,,,,,,,,,
18,Assam,307,Lakhimpur,801577,North Lakhimpur,,,,,,,,,,,,,,,,,,,,
18,Assam,304,Morigaon,801561,Marigaon,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801562,Dhing,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801567,Doboka,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801566,Hojai,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801565,Kampur Town,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801569,Lanka,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801568,Lumding,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,900033,Majuli,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801563,Nagaon,,,,,,,,,,,,,,,,,,,,
18,Assam,305,Nagaon,801564,Raha,,,,,,,,,,,,,,,,,,,,
18,Assam,323,Nalbari,801629,Nalbari,,,,,,,,,,,,,,,,,,,,
